Project name,Active,Industry,Technology,Project size/Production capacity [Mt/a] or GW,Planned production volume p.a.,Max. full load hours,Technical lifetime,Time of investment,Project duration [a],WACC,Share of high CAPEX,H2 Share Scenario
Stahl a),1,steel_dri,Agora_DRI-10%_Scrap,0.7,0.7,8760,20,2027,15,,1,15% steady
Stahl c),1,steel_dri,Agora_DRI-10%_Scrap,0.15,0.15,8760,20,2028,15,,1,Hochlauf auf 30 %
Stahl d),1,steel_dri,Agora_DRI-10%_Scrap+5%E,2,2,8760,20,2028,15,,1,Hochlauf auf 30 %
Stahl e),1,steel_dri,Agora_DRI-10%_Scrap,2,2,8760,20,2027,15,,1,Hochlauf auf 30 %
Stahl f),1,steel_dri,Agora_DRI-Original,2.2,2.2,8760,15,2027,15,,1,Hochlauf auf 30 %
Stahl g),1,steel_dri,Agora_DRI-Original,2.5,2.5,8760,15,2026,15,,1,Hochlauf auf 30 %
Stahl h),1,steel_dri,Agora_DRI-Original,1.9,1.9,8760,15,2026,15,,1,Hochlauf auf 30 %
Stahl i),1,steel_dri,Agora_DRI-Original,2,2,8760,15,2027,15,,1,Hochlauf auf 30 %
Stahl j),1,steel_dri,Agora_DRI-Original,1,1,8760,15,2025,15,,1,Hochlauf auf 30 %
Stahl k),1,steel_dri,Agora_DRI-Original,1,1,8760,15,2025,15,,1,continuous increase
Stahl l),1,steel_dri,Agora_DRI-Original,1,1,8760,15,2025,15,,1,H2-only
Andere a),1,other_industries,Agora-Höchsttemperatur WP,1,0.5,4380,15,2024,15,,0.3,H2-only
Andere b),1,other_industries,Agora-Elektrodenkessel,1,1,8760,20,2027,15,,0,H2-only
Andere c),1,other_industries,Agora-Höchsttemperatur WP-5%E,0.1,0.1,8760,20,2025,15,,1,H2-only
Andere d),1,other_industries,Agora-Höchsttemperatur WP-5%E,0.3,0.3,8760,20,2028,15,,1,H2-only
Andere e),1,other_industries,Agora-Elektrodenkessel,0.05,0.05,8760,20,2028,15,,1,H2-only
Andere f),1,other_industries,Agora-Elektrodenkessel,0.5,0.5,8760,15,2027,15,,0.3,H2-only
Andere g),1,other_industries,Agora-Höchsttemperatur WP,0.5,0.5,8760,15,2027,15,,0.3,H2-only
Andere h),1,other_industries,Agora-Höchsttemperatur WP,0.5,0.5,8760,15,2027,15,,0.3,H2-only
Andere i),1,other_industries,Agora-Elektrodenkessel+5%E,0.5,0.5,8760,15,2024,15,,0.1,H2-only
Andere j),1,other_industries,Agora-Elektrodenkessel+5%E,0.5,0.5,8760,15,2027,15,,0.1,H2-only
Andere k),1,other_industries,Agora-Hochtemperatur WP+5%E,0.5,0.5,8760,15,2027,15,,0,H2-only
Andere l),1,other_industries,Agora-Elektrodenkessel+5%E,0.2,0.2,8760,15,2024,15,,0,H2-only
Andere m),1,other_industries,Agora-Elektrodenkessel+5%E,0.05,0.05,8760,15,2024,15,,0.7,H2-only
Andere n),1,other_industries,Agora-Höchsttemperatur WP,0.5,0.5,8760,15,2025,15,,0.7,H2-only
Andere o),1,other_industries,Agora-Elektrodenkessel+5%E,0.405,0.405,8760,15,2027,15,,0.7,H2-only
Andere p),1,other_industries,Agora-Elektrodenkessel+5%E,0.4,0.4,8760,15,2026,15,,0.7,H2-only
Andere q),1,other_industries,Agora-Höchsttemperatur WP,0.04,0.04,8760,15,2025,15,,0.7,H2-only
Andere r),1,other_industries,Agora-Elektrodenkessel,0.1,0.1,8760,15,2026,15,,0.7,H2-only
Andere s),1,other_industries,Agora-Elektrodenkessel,0.013,0.013,8760,15,2028,15,,0.7,H2-only
Andere t),1,other_industries,Agora-Höchsttemperatur WP-5%E,0.3,0.3,8760,15,2027,15,,0.7,H2-only
Andere u),1,other_industries,Agora-Elektrodenkessel,0.35,0.35,8760,15,2026,15,,0.7,H2-only
Andere v),1,other_industries,Agora-Elektrodenkessel,0.3,0.3,8760,15,2028,15,,0.7,H2-only
Andere w),1,other_industries,Agora-Höchsttemperatur WP,0.2,0.2,8760,15,2026,15,,0.7,H2-only
Andere x),1,other_industries,Agora-Elektrodenkessel,0.2,0.2,8760,15,2027,15,,0.7,H2-only
Andere y),1,other_industries,Agora-Höchsttemperatur WP,0.15,0.15,8760,15,2026,15,,0.7,H2-only
Andere z),1,other_industries,Agora-Elektrodenkessel,0.5,0.228,3995,15,2027,15,,0.7,H2-only
Andere aa),1,other_industries,Agora-Elektrodenkessel,0.5,0.114,1997,15,2027,15,,0.7,H2-only
Andere ab),1,other_industries,Agora-Höchsttemperatur WP,1,1,8760,15,2025,15,,0,H2-only
Zement a),1,cement,Agora-Oxyfuel-Drehrohrofen ,0.92,0.92,8760,20,2028,15,,0.5,Ramp-CCS
Zement b),1,cement,Agora-Oxyfuel-Drehrohrofen ,1,1,8760,20,2027,15,,0.9,Ramp-CCS
Zement c),1,cement,Agora-Oxyfuel-Drehrohrofen ,1,1,8760,20,2026,15,,0.9,Ramp-CCS
Zement d),1,cement,Agora-Oxyfuel-Drehrohrofen ,1.5,1.5,8760,20,2027,15,,0.9,Ramp-CCS
Zement e),1,cement,Agora-Oxyfuel-Drehrohrofen ,0.6,0.6,8760,20,2028,15,,0.9,Ramp-CCS
Zement f),1,cement,Agora-Oxyfuel-Drehrohrofen-5%E,1,1,8760,20,2028,15,,0.5,Ramp-CCS
Zement g),1,cement,Agora-Oxyfuel-Drehrohrofen-5%E,0.5,0.5,8760,20,2028,15,,0.5,Ramp-CCS
