Source Reference,Component,Scenario,Unit,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
VdKI (2020),Coking Coal,KSV-Base-Kohle,€/t,,,,151.71,156.26,160.948,165.776,170.749,175.872,181.148,186.583,192.18,197.945,203.884,210,216.3,222.789,229.473,236.357,243.448,250.751,258.274,258.274,258.274,258.274,258.274,258.274,258.274,258.274,258.274,258.274,258.274
Ad-hoc guess,Coking Coal,100 steady,€/MWh,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
VdKI (2023),Coking Coal,OL_scrap_base_ccoal,€/t,150,109,156,372,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Agora Stahlrechner,DRI-Pellets,DRI-Pellets Agora,€/t,,,,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154
,DRI-Pellets,KSV-Base-DRI-Pellets,€/t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DRI-Pellets,Zero_Dummy_DRI,€/t,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PIK_Ueckert,Electricity,Agora: konservativ,€ / MWh,,,,,207.090399999999,203.535199999999,199.98,196.4248,192.8696,189.3144,185.7592,182.204,178.6488,175.0936,171.5384,167.9832,164.428,160.8728,157.3176,153.7624,150.2072,146.652,,,,,,,,,,
Website EEX,Electricity,EEX Jahresfuture_DE,€/MWh,,,,,398.49,228.82,156.42,147.63,125.25,120.76,113.77,114.28,114.28,114.28,114.28,111.9944,109.754511999999,107.559421759999,105.4082333248,103.300068658304,101.234067285137,99.2093859394351,97.2251982206464,95.2806942562335,93.3750803711088,91.5075787636866,89.6774271884129,87.8838786446446,86.1262010717517,84.4036770503167,82.7156035093104,81.0612914391242
,Electricity,EU-Price-Cap,€/MWh,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
EEX German Power Futures Baseload vom 26.09.2022. Letzter Future Preis (2032) als konstanter Endwert,Electricity,KSV-Base-Strom,€/MWh,,,,,447.33,239.5,192.5,159.5,134.9,120.78,122.78,120.84,119.27,117.56,117.56,117.56,117.56,117.56,117.56,117.56,117.56,117.56,117.56,117.56,117.56,117.56,117.56,117.56,117.56,117.56,117.56,117.56
Ad-hoc guess,Electricity,100 steady,€/MWh,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
Energy-Charts Strom Futures Germany Base 21012026 letzter Wert 2036 konstant historische Werte bis 2025 von SMARD,Electricity,OL_scrap_base_elec,€/MWh,59.2,59.2,109.4,290.2,142.3,104.7,98.8,92.8,86.8,80.7,76.1,74.6,73.2,72.3,73.5,74.9,74.9,74.9,74.9,74.9,74.9,74.9,74.9,74.9,74.9,74.9,74.9,74.9,74.9,74.9,74.9,74.9
PIK_Ueckert,Hydrogen,ISI: low,€/kg,,4.26603234980097,4.18293441635794,4.10411892651243,4.04275154422418,3.98725881382232,3.93752815516255,3.89331005341647,3.85417523407731,3.81965354862255,3.78926851704519,3.76255097725888,3.73753965239028,3.7137163455411,3.69058065507137,3.66766200143921,3.6445306553226,3.62080338880951,3.59507839399441,3.56584574000687,3.53602334615726,3.50524386493396,3.47598306989567,3.44805140829804,3.42129066688516,3.39557333768952,3.37079948990645,3.34689249664377,3.323794675567,3.30146342124283,3.27986803313563,3.25898723278607
PIK_Ueckert,Hydrogen,ISI: best-guess,€/kg,,6.9732013281714,6.98912073033913,6.96513909360435,6.93625216915629,6.90408367449168,6.86966925057658,6.83665284019501,6.80544106025583,6.77605522762028,6.74821832601086,6.72146425749054,6.69413065213391,6.66559570554787,6.6352634242384,6.60258178595731,6.56704475578661,6.52953001894307,6.48966766182584,6.44711320687803,6.40153915439803,6.35221205538025,6.30227842355209,6.25445619220313,6.20856641678854,6.16447190232611,6.12206864299565,6.08021315824758,6.03879492022828,5.99771646135326,5.95689005501514,5.91623515529199
PIK_Ueckert,Hydrogen,ISI: high,€/kg,,8.87020702070206,8.94551462129946,9.02146157954595,9.09805332355503,9.17529532752462,9.25319311212827,9.33175224490977,9.41097834068109,9.49087706192363,9.57145411919301,9.65271527152714,9.66524014534505,9.67778127080406,9.69033866899146,9.70291236102193,9.71550236803753,9.72810871120775,9.74073141172956,9.75337049082744,9.76602596975338,9.77869786978699,9.75782341766795,9.73699352595532,9.71620809952661,9.6954670434624,9.67477026304588,9.65411766376242,9.63350915129918,9.61294463154461,9.59242401058809,9.57194719471946
PIK_Ueckert,Hydrogen,Agora_H2-Konservativ,€/kg,,0,0,0,6.21333333333333,6.10666666666666,6,5.89333333333333,5.78666666666666,5.68,5.57333333333333,5.46666666666666,5.36,5.25333333333333,5.14666666666667,5.04,4.93333333333333,4.82666666666667,4.72,4.61333333333333,4.50666666666667,4.4,0,0,0,0,0,0,0,0,0,0
PIK_Ueckert,Hydrogen,PIKExpertGuess-H2,€/kg,,,,,7,7,7,6.7,6.4,6.1,5.8,5.5,5.2,4.9,4.6,4.3,4.0,3.7,3.4,3.1,3,3,3,3,3,3,3,3,3,3,3,3
Projektionsbericht Rahmendaten 2024_(2022),Hydrogen,OL_scrap_base_hy,€/kg,7.07,7.07,7.07,7.07,6.75,6.43,6.12,5.8,5.48,5.17,4.85,4.53,4.4,4.27,4.13,4,3.87,3.73,3.6,3.47,3.33,3.2,3.17,3.13,3.1,3.07,3.03,3,2.97,2.93,2.9,2.87
Gleich wie Kokskohle,Injection Coal,Einblaskohle a),€/t,,,,151.71,156.26,160.948,165.776,170.749,175.872,181.148,186.583,192.18,197.945,203.884,210,216.3,222.789,229.473,236.357,243.448,250.751,258.274,258.274,258.274,258.274,258.274,258.274,258.274,258.274,258.274,258.274,258.274
Ad-hoc guess,Injection Coal,70 steady,€/MWh,,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
VdKI (2023),Injection Coal,OL_scrap_base_icoal,€/t,150,109,156,372,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Agora Stahlrechner,Iron Ore,Eisenerz Agora,€/t,,,,,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
,Iron Ore,Zero_Dummy-ERZ,€/t,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
