Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
Posted-Electrolysis-AEL,,High CAPEX,CAPEX,,World,2019.0,,98.01,,USD_2005,,,Posted Tech|Electrolysis,
Posted-Electrolysis-AEL,,Energy demand,Electricity,,World,2019.0,,1.52,,MWh,,,Posted Tech|Electrolysis,
Posted-Electrolysis-AEL,,OPEX,Additional OPEX,,World,2019.0,,4.036,,USD_2005/a,,,Posted Tech|Electrolysis,
Posted-Electrolysis-AEL,,High CAPEX,CAPEX,,World,2019.0,,88.96,,USD_2005,,,Posted Tech|Electrolysis,
Posted-Electrolysis-AEL,,Energy demand,Electricity,,World,2019.0,,1.515,,MWh,,,Posted Tech|Electrolysis,
Posted-Electrolysis-AEL,,OPEX,Additional OPEX,,World,2019.0,,2.236,,USD_2005/a,,,Posted Tech|Electrolysis,
Posted-Electrolysis-AEL,,High CAPEX,CAPEX,,World,2019.0,,163.8,,USD_2005,,,Posted Tech|Electrolysis,
Posted-Electrolysis-AEL,,Energy demand,Electricity,,World,2019.0,,1.607,,MWh,,,Posted Tech|Electrolysis,
Posted-Electrolysis-AEL,,OPEX,Additional OPEX,,World,2019.0,,2.854,,USD_2005/a,,,Posted Tech|Electrolysis,
Posted-Electrolysis-AEL,,High CAPEX,CAPEX,,World,2019.0,,112.1,,USD_2005,,,Posted Tech|Electrolysis,
Posted-Electrolysis-AEL,,Energy demand,Electricity,,World,2019.0,,1.52,,MWh,,,Posted Tech|Electrolysis,
Posted-Electrolysis-AEL,,OPEX,Additional OPEX,,World,2019.0,,2.854,,USD_2005/a,,,Posted Tech|Electrolysis,
Posted-Electrolysis-PEM,,High CAPEX,CAPEX,,World,2019.0,,181.0,,USD_2005,,,Posted Tech|Electrolysis,
Posted-Electrolysis-PEM,,Energy demand,Electricity,,World,2019.0,,1.627,,MWh,,,Posted Tech|Electrolysis,
Posted-Electrolysis-PEM,,OPEX,Additional OPEX,,World,2019.0,,7.639,,USD_2005/a,,,Posted Tech|Electrolysis,
Posted-Electrolysis-PEM,,High CAPEX,CAPEX,,World,2019.0,,152.9,,USD_2005,,,Posted Tech|Electrolysis,
Posted-Electrolysis-PEM,,Energy demand,Electricity,,World,2019.0,,1.627,,MWh,,,Posted Tech|Electrolysis,
Posted-Electrolysis-PEM,,OPEX,Additional OPEX,,World,2019.0,,4.924,,USD_2005/a,,,Posted Tech|Electrolysis,
Posted-Electrolysis-PEM,,High CAPEX,CAPEX,,World,2019.0,,416.6,,USD_2005,,,Posted Tech|Electrolysis,
Posted-Electrolysis-PEM,,Energy demand,Electricity,,World,2019.0,,1.735,,MWh,,,Posted Tech|Electrolysis,
Posted-Electrolysis-PEM,,OPEX,Additional OPEX,,World,2019.0,,2.605,,USD_2005/a,,,Posted Tech|Electrolysis,
Posted-Electrolysis-PEM,,High CAPEX,CAPEX,,World,2019.0,,169.9,,USD_2005,,,Posted Tech|Electrolysis,
Posted-Electrolysis-PEM,,Energy demand,Electricity,,World,2019.0,,1.627,,MWh,,,Posted Tech|Electrolysis,
Posted-Electrolysis-PEM,,OPEX,Additional OPEX,,World,2019.0,,2.605,,USD_2005/a,,,Posted Tech|Electrolysis,
Posted-Electrolysis-SOEC,,High CAPEX,CAPEX,,World,2019.0,,657.7,,USD_2005,,,Posted Tech|Electrolysis,
Posted-Electrolysis-SOEC,,Energy demand,Electricity,,World,2019.0,,1.288,,MWh,,,Posted Tech|Electrolysis,
Posted-Electrolysis-SOEC,,OPEX,Additional OPEX,,World,2019.0,,78.93,,USD_2005/a,,,Posted Tech|Electrolysis,
Posted-Electrolysis-SOEC,,Energy demand,Electricity,,World,2019.0,,1.288,,MWh,,,Posted Tech|Electrolysis,
Posted-Electrolysis-SOEC,,High CAPEX,CAPEX,,World,2019.0,,314.6,,USD_2005,,,Posted Tech|Electrolysis,
Posted-Electrolysis-SOEC,,Energy demand,Electricity,,World,2019.0,,1.325,,MWh,,,Posted Tech|Electrolysis,
Posted-Electrolysis-SOEC,,Energy demand,Electricity,,World,2019.0,,1.288,,MWh,,,Posted Tech|Electrolysis,
