Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
Agora-Drehrohrofen,,High CAPEX,CAPEX,,,2022,,231.0,,€/t annual production capacity,,,,
Agora-Drehrohrofen,,Low CAPEX,CAPEX,,,2022,,231.0,,€/t annual production capacity,,,,
Agora-Oxyfuel-Drehrohrofen ,,High CAPEX,CAPEX,,,2022,,290.0,,€/t annual production capacity,,,,
Agora-Oxyfuel-Drehrohrofen ,,Low CAPEX,CAPEX,,,2022,,290.0,,€/t annual production capacity,,,,
Agora-El.LEILAC-Drehrohrofen,,High CAPEX,CAPEX,,,2022,,250.5,,€/t annual production capacity,,,,
Agora-El.LEILAC-Drehrohrofen,,Low CAPEX,CAPEX,,,2022,,250.5,,€/t annual production capacity,,,,
Agora-Drehrohrofen+5%E,,High CAPEX,CAPEX,,,2022,,231.0,,€/t annual production capacity,,,,
Agora-Drehrohrofen+5%E,,Low CAPEX,CAPEX,,,2022,,231.0,,€/t annual production capacity,,,,
Agora-Oxyfuel-Drehrohrofen+5%E,,High CAPEX,CAPEX,,,2022,,290.0,,€/t annual production capacity,,,,
Agora-Oxyfuel-Drehrohrofen+5%E,,Low CAPEX,CAPEX,,,2022,,290.0,,€/t annual production capacity,,,,
Agora-El.LEILAC-Drehrohrofen+5%E,,High CAPEX,CAPEX,,,2022,,250.5,,€/t annual production capacity,,,,
Agora-El.LEILAC-Drehrohrofen+5%E,,Low CAPEX,CAPEX,,,2022,,250.5,,€/t annual production capacity,,,,
Agora-Drehrohrofen-5%E,,High CAPEX,CAPEX,,,2022,,231.0,,€/t annual production capacity,,,,
Agora-Drehrohrofen-5%E,,Low CAPEX,CAPEX,,,2022,,231.0,,€/t annual production capacity,,,,
Agora-Oxyfuel-Drehrohrofen-5%E,,High CAPEX,CAPEX,,,2022,,290.0,,€/t annual production capacity,,,,
Agora-Oxyfuel-Drehrohrofen-5%E,,Low CAPEX,CAPEX,,,2022,,290.0,,€/t annual production capacity,,,,
Agora-El.LEILAC-Drehrohrofen-5%E,,High CAPEX,CAPEX,,,2022,,250.5,,€/t annual production capacity,,,,
Agora-El.LEILAC-Drehrohrofen-5%E,,Low CAPEX,CAPEX,,,2022,,250.5,,€/t annual production capacity,,,,
Agora-Drehrohrofen,,Emissions,CO2,,,,,0.827,,t/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen ,,Emissions,CO2,,,,,0.083,,t/t_product,,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen,,Emissions,CO2,,,,,0.155,,t/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen+5%E,,Emissions,CO2,,,,,0.827,,t/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen+5%E,,Emissions,CO2,,,,,0.083,,t/t_product,,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen+5%E,,Emissions,CO2,,,,,0.155,,t/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen-5%E,,Emissions,CO2,,,,,0.827,,t/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen-5%E,,Emissions,CO2,,,,,0.083,,t/t_product,,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen-5%E,,Emissions,CO2,,,,,0.155,,t/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen,,Energy demand,Natural Gas,,,,,0.01,,MWh/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen ,,Energy demand,Natural Gas,,,,,0.01,,MWh/t_product,,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen,,Energy demand,Natural Gas,,,,,0.01,,MWh/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen+5%E,,Energy demand,Natural Gas,,,,,0.0095,,MWh/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen+5%E,,Energy demand,Natural Gas,,,,,0.0095,,MWh/t_product,,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen+5%E,,Energy demand,Natural Gas,,,,,0.0095,,MWh/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen-5%E,,Energy demand,Natural Gas,,,,,0.0105,,MWh/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen-5%E,,Energy demand,Natural Gas,,,,,0.0105,,MWh/t_product,,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen-5%E,,Energy demand,Natural Gas,,,,,0.0105,,MWh/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen,,Energy demand,Electricity,,,,,0.09,,MWh/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen ,,Energy demand,Electricity,,,,,0.27,,MWh/t_product,,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen,,Energy demand,Electricity,,,,,0.94,,MWh/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen+5%E,,Energy demand,Electricity,,,,,0.0854999999999999,,MWh/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen+5%E,,Energy demand,Electricity,,,,,0.2565,,MWh/t_product,,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen+5%E,,Energy demand,Electricity,,,,,0.892999999999999,,MWh/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen-5%E,,Energy demand,Electricity,,,,,0.0945,,MWh/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen-5%E,,Energy demand,Electricity,,,,,0.2835,,MWh/t_product,,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen-5%E,,Energy demand,Electricity,,,,,0.987,,MWh/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen+5%E,,Energy demand,Hydrogen,,,,,0.0,,kg/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen+5%E,,Energy demand,Hydrogen,,,,,0.0,,kg/t_product,,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen+5%E,,Energy demand,Hydrogen,,,,,0.0,,kg/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen-5%E,,Energy demand,Hydrogen,,,,,0.0,,kg/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen-5%E,,Energy demand,Hydrogen,,,,,0.0,,kg/t_product,,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen-5%E,,Energy demand,Hydrogen,,,,,0.0,,kg/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen,,Energy demand,Coking Coal,,,,,0.96,,t/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen ,,Energy demand,Coking Coal,,,,,0.96,,t/t_product,,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen,,Energy demand,Coking Coal,,,,,0.31,,t/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen+5%E,,Energy demand,Coking Coal,,,,,0.911999999999999,,t/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen+5%E,,Energy demand,Coking Coal,,,,,0.911999999999999,,t/t_product,,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen+5%E,,Energy demand,Coking Coal,,,,,0.2945,,t/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen-5%E,,Energy demand,Coking Coal,,,,,1.008,,t/t_product,,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen-5%E,,Energy demand,Coking Coal,,,,,1.008,,t/t_product,,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen-5%E,,Energy demand,Coking Coal,,,,,0.3255,,t/t_product,,,Agora Zementrechenr,
Agora-Drehrohrofen,,Energy demand,Injection Coal,,,,,0.0,,t/t_product,,,Agora Zementrechenr,
