Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
Agora-Dampfkessel,,High CAPEX,CAPEX,,,2022,,26.7123287671233,,€/(MWh/yr),,,,
Agora-Dampfkessel,,Low CAPEX,CAPEX,,,2022,,26.7123287671233,,€/(MWh/yr),,,,
Agora-Elektrodenkessel,,High CAPEX,CAPEX,,,2022,,19.9771689497717,,€/(MWh/yr),,,,
Agora-Elektrodenkessel,,Low CAPEX,CAPEX,,,2022,,19.9771689497717,,€/(MWh/yr),,,,
Agora-Hochtemperatur WP,,High CAPEX,CAPEX,,,2022,,79.337899543379,,€/(MWh/yr),,,,
Agora-Hochtemperatur WP,,Low CAPEX,CAPEX,,,2022,,79.337899543379,,€/(MWh/yr),,,,
Agora-Höchsttemperatur WP,,High CAPEX,CAPEX,,,2022,,98.8584474885845,,€/(MWh/yr),,,,
Agora-Höchsttemperatur WP,,Low CAPEX,CAPEX,,,2022,,98.8584474885845,,€/(MWh/yr),,,,
Agora-Dampfkessel+5%E,,High CAPEX,CAPEX,,,2022,,26.7123287671233,,€/(MWh/yr),,,,
Agora-Dampfkessel+5%E,,Low CAPEX,CAPEX,,,2022,,26.7123287671233,,€/(MWh/yr),,,,
Agora-Elektrodenkessel+5%E,,High CAPEX,CAPEX,,,2022,,19.9771689497717,,€/(MWh/yr),,,,
Agora-Elektrodenkessel+5%E,,Low CAPEX,CAPEX,,,2022,,19.9771689497717,,€/(MWh/yr),,,,
Agora-Hochtemperatur WP+5%E,,High CAPEX,CAPEX,,,2022,,79.337899543379,,€/(MWh/yr),,,,
Agora-Hochtemperatur WP+5%E,,Low CAPEX,CAPEX,,,2022,,79.337899543379,,€/(MWh/yr),,,,
Agora-Höchsttemperatur WP+5%E,,High CAPEX,CAPEX,,,2022,,98.8584474885845,,€/(MWh/yr),,,,
Agora-Höchsttemperatur WP+5%E,,Low CAPEX,CAPEX,,,2022,,98.8584474885845,,€/(MWh/yr),,,,
Agora-Dampfkessel-5%E,,High CAPEX,CAPEX,,,2022,,26.7123287671233,,€/(MWh/yr),,,,
Agora-Dampfkessel-5%E,,Low CAPEX,CAPEX,,,2022,,26.7123287671233,,€/(MWh/yr),,,,
Agora-Elektrodenkessel-5%E,,High CAPEX,CAPEX,,,2022,,19.9771689497717,,€/(MWh/yr),,,,
Agora-Elektrodenkessel-5%E,,Low CAPEX,CAPEX,,,2022,,19.9771689497717,,€/(MWh/yr),,,,
Agora-Hochtemperatur WP-5%E,,High CAPEX,CAPEX,,,2022,,79.337899543379,,€/(MWh/yr),,,,
Agora-Hochtemperatur WP-5%E,,Low CAPEX,CAPEX,,,2022,,79.337899543379,,€/(MWh/yr),,,,
Agora-Höchsttemperatur WP-5%E,,High CAPEX,CAPEX,,,2022,,98.8584474885845,,€/(MWh/yr),,,,
Agora-Höchsttemperatur WP-5%E,,Low CAPEX,CAPEX,,,2022,,98.8584474885845,,€/(MWh/yr),,,,
Agora-Dampfkessel,,Emissions,CO2,,,,,0.4,,t/MWh_heat,,,Agora P2H-rechner,
Agora-Elektrodenkessel,,Emissions,CO2,,,,,0,,t/MWh_heat,,230 °C; 30 Bar,Agora P2H-rechner,
Agora-Hochtemperatur WP,,Emissions,CO2,,,,,0,,t/MWh_heat,,85 °C,Agora P2H-rechner,
Agora-Höchsttemperatur WP,,Emissions,CO2,,,,,0,,t/MWh_heat,,180 °C; 4 bar,Agora P2H-rechner,
Agora-Dampfkessel+5%E,,Emissions,CO2,,,,,0.38,,t/MWh_heat,,,Agora P2H-rechner,
Agora-Elektrodenkessel+5%E,,Emissions,CO2,,,,,0,,t/MWh_heat,,,Agora P2H-rechner,
Agora-Hochtemperatur WP+5%E,,Emissions,CO2,,,,,0,,t/MWh_heat,,,Agora P2H-rechner,
Agora-Höchsttemperatur WP+5%E,,Emissions,CO2,,,,,0,,t/MWh_heat,,,Agora P2H-rechner,
Agora-Dampfkessel-5%E,,Emissions,CO2,,,,,0.4,,t/MWh_heat,,,Agora P2H-rechner,
Agora-Elektrodenkessel-5%E,,Emissions,CO2,,,,,0,,t/MWh_heat,,,Agora P2H-rechner,
Agora-Hochtemperatur WP-5%E,,Emissions,CO2,,,,,0,,t/MWh_heat,,,Agora P2H-rechner,
Agora-Höchsttemperatur WP-5%E,,Emissions,CO2,,,,,0,,t/MWh_heat,,,Agora P2H-rechner,
Agora-Dampfkessel,,Energy demand,Natural Gas,,,,,2,,MWh/MWh_heat,,,Agora P2H-rechner,
Agora-Dampfkessel+5%E,,Energy demand,Natural Gas,,,,,1.9,,MWh/MWh_heat,,,Agora P2H-rechner,
Agora-Dampfkessel-5%E,,Energy demand,Natural Gas,,,,,2.1,,MWh/MWh_heat,,,Agora P2H-rechner,
Agora-Elektrodenkessel,,Energy demand,Electricity,,,,,1.71,,MWh/MWh_heat,,230 °C; 30 Bar,Agora P2H-rechner,
Agora-Hochtemperatur WP,,Energy demand,Electricity,,,,,0.97,,MWh/MWh_heat,,85 °C,Agora P2H-rechner,
Agora-Höchsttemperatur WP,,Energy demand,Electricity,,,,,1.15,,MWh/MWh_heat,,180 °C; 4 bar,Agora P2H-rechner,
Agora-Elektrodenkessel+5%E,,Energy demand,Electricity,,,,,1.62449999999999,,MWh/MWh_heat,,,Agora P2H-rechner,
Agora-Hochtemperatur WP+5%E,,Energy demand,Electricity,,,,,0.9215,,MWh/MWh_heat,,,Agora P2H-rechner,
Agora-Höchsttemperatur WP+5%E,,Energy demand,Electricity,,,,,1.09249999999999,,MWh/MWh_heat,,,Agora P2H-rechner,
Agora-Elektrodenkessel-5%E,,Energy demand,Electricity,,,,,1.7955,,MWh/MWh_heat,,,Agora P2H-rechner,
Agora-Hochtemperatur WP-5%E,,Energy demand,Electricity,,,,,1.0185,,MWh/MWh_heat,,,Agora P2H-rechner,
