Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
Dummy_Scrap,,Emissions,CO2,,,,,0.15,,t/t RS,,,Kirschen et al ,MA OL
Dummy_Scrap,,Energy demand,Natural Gas,,,,,0.38,,MWh/t RS,,,Berechnet ,MA OL
Dummy_Scrap,,Energy demand,Electricity,,,,,0.45,,MWh/t RS,,,Dummywert ,
Dummy_Scrap,,Energy demand,Hydrogen,,,,,0,,kg/t RS,,,Dummywert ,
Dummy_Scrap,,Feedstock demand,Scrap Steel,,,,,1.1,,t/t RS,,,Berechnet,MA OL
Dummy_Scrap,,High CAPEX,CAPEX,,,2022,,184,,€/t annual production capacity,,,,
Dummy_Scrap,,OPEX,Additional OPEX,,,,,51.41,,€/t RS,,,Agora Stahlrechner ,
Dummy_Scrap,,Feedstock demand,Naphta,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Dummy_Scrap,,Feedstock demand,DRI-Pellets,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Dummy_Scrap,,Feedstock demand,Iron Ore,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Dummy_Scrap,,Energy demand,Injection Coal,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Dummy_Scrap,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Scrap0_DRI100,,Emissions,CO2,,,,,0.05,,t/t RS,,,Agora Stahlrechner ,
Scrap0_DRI100,,Energy demand,Natural Gas,,,,,0,,MWh/t RS,,,Setzung ,
Scrap0_DRI100,,Energy demand,Electricity,,,,,0.68,,MWh/t RS,,,MA OL Cavaliere 2019 ,
Scrap0_DRI100,,Energy demand,Hydrogen,,,,,80.5,,kg/t RS,,,MA OL Hölling 2017 plus Nebenanlagen plus Gasaufheizung plus Ersatz Brennererdgas EAF ,
Scrap0_DRI100,,Feedstock demand,Scrap Steel,,,,,0,,t/t RS,,,Setzung ,
Scrap0_DRI100,,High CAPEX,CAPEX,,,2024,,621,,€/t annual production capacity,,,Originalwert aus Woertler et al 2013 auf 2024 inflationiert,
Scrap0_DRI100,,OPEX,Additional OPEX,,,2024,,71.3,,€/t RS,,,Wert fuer Arbeit aus MA OL auf 2024 inflationiert ,
Scrap0_DRI100,,Feedstock demand,Naphta,,,,,0,,t/t RS,,,Setzung ,
Scrap0_DRI100,,Feedstock demand,DRI-Pellets,,,,,1.61,,t/t RS,,,MA OL ,
Scrap0_DRI100,,Feedstock demand,Iron Ore,,,,,0,,t/t RS,,,Agora Stahlrechner ,
