Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
BF-BOF,,High CAPEX,CAPEX,,,2022.0,,422.0,,€/t annual production capacity,,,,
BF-BOF,,Low CAPEX,CAPEX,,,2022.0,,330.0,,€/t annual production capacity,,,PIK_Ueckert,
Rehfeldt-BF_BOF,,High CAPEX,CAPEX,,,2022.0,,100.0,,€/t annual production capacity,,,PIK_Ueckert,
Rehfeldt-BF_BOF,,Low CAPEX,CAPEX,,,2022.0,,422.0,,€/t annual production capacity,,,,
Agora-BF-BOF,,High CAPEX,CAPEX,,,2022.0,,170.0,,€/t annual production capacity,,,Agora Stahlrechner,
Agora-BF-BOF,,Low CAPEX,CAPEX,,,2022.0,,170.0,,€/t annual production capacity,,,Agora Stahlrechner,
Agora_BF_Original,,High CAPEX,CAPEX,,,2022.0,,170.0,,€/t annual production capacity,,,,
Agora_BF_10%_Scrap,,High CAPEX,CAPEX,,,2022.0,,170.0,,€/t annual production capacity,,,,
Agora_BF_0%_Scrap,,High CAPEX,CAPEX,,,2022.0,,170.0,,€/t annual production capacity,,,,
Sensitivity_Agora_BF_10%_Scrap,,High CAPEX,CAPEX,,,2022.0,,170.0,,€/t annual production capacity,,,,
Agora_BF_10%_Scrap+5%E,,High CAPEX,CAPEX,,,2022.0,,170.0,,€/t annual production capacity,,,,
Agora_BF_10%_Scrap-5%E,,High CAPEX,CAPEX,,,2022.0,,170.0,,€/t annual production capacity,,,,
Agora-BF-BOF,,Emissions,CO2,,,,,1.71,,t/t RS,,,Agora Stahlrechner,
Agora_BF_Original,,Emissions,CO2,,,,,1.71,,t/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap,,Emissions,CO2,,,,,1.7768140832975523,,t/t RS,,,Agora Stahlrechner ,
Agora_BF_0%_Scrap,,Emissions,CO2,,,,,1.8722627737226276,,t/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap+5%E,,Emissions,CO2,,,,,1.6879733791326745,,t/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap-5%E,,Emissions,CO2,,,,,0.5863138686131387,,t/t RS,,,Agora Stahlrechner ,
Agora-BF-BOF,,Energy demand,Natural Gas,,,,,0.17,,MWh/t RS,,,Agora Stahlrechner,
Agora_BF_Original,,Energy demand,Natural Gas,,,,,0.17,,MWh/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap,,Energy demand,Natural Gas,,,,,0.17664233576642335,,MWh/t RS,,,Agora Stahlrechner ,
Agora_BF_0%_Scrap,,Energy demand,Natural Gas,,,,,0.1861313868613139,,MWh/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap+5%E,,Energy demand,Natural Gas,,,,,0.16781021897810217,,MWh/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap-5%E,,Energy demand,Natural Gas,,,,,3.37992700729927,,MWh/t RS,,,Agora Stahlrechner ,
Agora-BF-BOF,,Energy demand,Electricity,,,,,0,,MWh/t RS,,,Agora Stahlrechner,
Agora_BF_Original,,Energy demand,Electricity,,,,,0,,MWh/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap,,Energy demand,Electricity,,,,,0,,MWh/t RS,,,Agora Stahlrechner ,
Agora_BF_0%_Scrap,,Energy demand,Electricity,,,,,0,,MWh/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap+5%E,,Energy demand,Electricity,,,,,0,,MWh/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap-5%E,,Energy demand,Electricity,,,,,0.7244999999999999,,MWh/t RS,,,Agora Stahlrechner ,
Agora_BF_Original,,Energy demand,Hydrogen,,,,,0,,kg/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap,,Energy demand,Hydrogen,,,,,0,,kg/t RS,,,Agora Stahlrechner ,
Agora_BF_0%_Scrap,,Energy demand,Hydrogen,,,,,0,,kg/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap+5%E,,Energy demand,Hydrogen,,,,,0,,kg/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap-5%E,,Energy demand,Hydrogen,,,,,0,,kg/t RS,,,Agora Stahlrechner ,
Agora-BF-BOF,,Energy demand,Coking Coal,,,,,0.4,,t/t RS,,,Agora Stahlrechner,
Agora_BF_Original,,Energy demand,Coking Coal,,,,,0.4,,t/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap,,Energy demand,Coking Coal,,,,,0.4156290253327608,,t/t RS,,,Agora Stahlrechner ,
Agora_BF_0%_Scrap,,Energy demand,Coking Coal,,,,,0.43795620437956206,,t/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap+5%E,,Energy demand,Coking Coal,,,,,0.39484757406612275,,t/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap-5%E,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Agora-BF-BOF,,Energy demand,Injection Coal,,,,,0.17,,t/t RS,,,Agora Stahlrechner,
Agora_BF_Original,,Energy demand,Injection Coal,,,,,0.17,,t/t RS,,,Agora Stahlrechner ,
Agora_BF_10%_Scrap,,Energy demand,Injection Coal,,,,,0.17664233576642335,,t/t RS,,,Agora Stahlrechner ,
Agora_BF_0%_Scrap,,Energy demand,Injection Coal,,,,,0.1861313868613139,,t/t RS,,,Agora Stahlrechner ,
