Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
Agora_DRI,,High CAPEX,CAPEX,,,2022,,414,,€/t annual production capacity,,,,
Agora_DRI,,Low CAPEX,CAPEX,,,2022,,414,,€/t annual production capacity,,,,
Agora_DRI-Original,,High CAPEX,CAPEX,,,2022,,745,,€/t annual production capacity,,,,
Agora_DRI-10%_Scrap,,High CAPEX,CAPEX,,,2022,,745,,€/t annual production capacity,,,,
Agora_DRI-0%_Scrap,,High CAPEX,CAPEX,,,2022,,745,,€/t annual production capacity,,,,
Agora_DRI-10%_Scrap+5%E,,High CAPEX,CAPEX,,,2022,,745,,€/t annual production capacity,,,,
Agora_DRI-10%_Scrap-5%E,,High CAPEX,CAPEX,,,2022,,745,,€/t annual production capacity,,,,
Agora_DRI-NG,,Emissions,CO2,,,,,0.51,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-H2,,Emissions,CO2,,,,,0.09,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-Original-NG,,Emissions,CO2,,,,,0.51,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-NG,,Emissions,CO2,,,,,0.52992700729927,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-0%_Scrap-NG,,Emissions,CO2,,,,,0.558394160583941,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-Original-H2,,Emissions,CO2,,,,,0.09,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-H2,,Emissions,CO2,,,,,9.35165306998711E-02,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-0%_Scrap-H2,,Emissions,CO2,,,,,9.85401459854014E-02,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap+5%E-NG,,Emissions,CO2,,,,,0.503430656934306,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap+5%E-H2,,Emissions,CO2,,,,,8.88407041648776E-02,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-5%E-NG,,Emissions,CO2,,,,,0.556423357664233,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-5%E-H2,,Emissions,CO2,,,,,9.81923572348647E-02,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-NG,,Energy demand,Natural Gas,,,,,2.94,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-H2,,Energy demand,Natural Gas,,,,,0.57,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-Original-NG,,Energy demand,Natural Gas,,,,,2.94,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-NG,,Energy demand,Natural Gas,,,,,3.05487333619579,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-0%_Scrap-NG,,Energy demand,Natural Gas,,,,,3.21897810218978,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-Original-H2,,Energy demand,Natural Gas,,,,,0.57,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-H2,,Energy demand,Natural Gas,,,,,0.592271361099184,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-0%_Scrap-H2,,Energy demand,Natural Gas,,,,,0.624087591240875,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap+5%E-NG,,Energy demand,Natural Gas,,,,,2.902129669386,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap+5%E-H2,,Energy demand,Natural Gas,,,,,0.562657793044224,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-5%E-NG,,Energy demand,Natural Gas,,,,,3.20761700300558,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-5%E-H2,,Energy demand,Natural Gas,,,,,0.621884929154143,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-NG,,Energy demand,Electricity,,,,,0.69,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-H2,,Energy demand,Electricity,,,,,0.69,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-Original-NG,,Energy demand,Electricity,,,,,0.69,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-NG,,Energy demand,Electricity,,,,,0.69,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-0%_Scrap-NG,,Energy demand,Electricity,,,,,0.69,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-Original-H2,,Energy demand,Electricity,,,,,0.69,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-H2,,Energy demand,Electricity,,,,,0.69,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-0%_Scrap-H2,,Energy demand,Electricity,,,,,0.69,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap+5%E-NG,,Energy demand,Electricity,,,,,0.6555,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap+5%E-H2,,Energy demand,Electricity,,,,,0.6555,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-5%E-NG,,Energy demand,Electricity,,,,,0.724499999999999,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-5%E-H2,,Energy demand,Electricity,,,,,0.724499999999999,,MWh/t RS,,,Agora Stahlrechner ,
Agora_DRI-H2,,Energy demand,Hydrogen,,,,,63.6602999999999,,kg/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-NG,,Energy demand,Hydrogen,,,,,0,,kg/t RS,,,Agora Stahlrechner ,
Agora_DRI-0%_Scrap-NG,,Energy demand,Hydrogen,,,,,0,,kg/t RS,,,Agora Stahlrechner ,
Agora_DRI-Original-H2,,Energy demand,Hydrogen,,,,,57.3057305730573,,kg/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-H2,,Energy demand,Hydrogen,,,,,59.544812360154,,kg/t RS,,,Agora Stahlrechner ,
Agora_DRI-0%_Scrap-H2,,Energy demand,Hydrogen,,,,,62.743500627435,,kg/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap+5%E-NG,,Energy demand,Hydrogen,,,,,0,,kg/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap+5%E-H2,,Energy demand,Hydrogen,,,,,56.5675717421463,,kg/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-5%E-NG,,Energy demand,Hydrogen,,,,,0,,kg/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-5%E-H2,,Energy demand,Hydrogen,,,,,62.5220529781617,,kg/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-NG,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-0%_Scrap-NG,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-Original-H2,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-H2,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-0%_Scrap-H2,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap+5%E-NG,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap+5%E-H2,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-5%E-NG,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-5%E-H2,,Energy demand,Coking Coal,,,,,0,,t/t RS,,,Agora Stahlrechner ,
Agora_DRI-10%_Scrap-NG,,Energy demand,Injection Coal,,,,,0,,t/t RS,,,Agora Stahlrechner ,
