Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Reported value,Reported uncertainty,Reported unit,Non-unit conversion factor,Used value,Used uncertainty,Used unit,Value and uncertainty comment,Source reference,Source comment
Agora-Drehrohrofen,,Emissions,CO2,,,,,0.827,,t/t RS,,0.827,,t/t RS,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen ,,Emissions,CO2,,,,,0.083,,t/t RS,,0.083,,t/t RS,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen,,Emissions,CO2,,,,,0.155,,t/t RS,,0.155,,t/t RS,,Agora Zementrechenr,
Agora-Drehrohrofen+5%E,,Emissions,CO2,,,,,0.827,,t/t RS,,0.827,,t/t RS,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen+5%E,,Emissions,CO2,,,,,0.083,,t/t RS,,0.083,,t/t RS,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen+5%E,,Emissions,CO2,,,,,0.155,,t/t RS,,0.155,,t/t RS,,Agora Zementrechenr,
Agora-Drehrohrofen-5%E,,Emissions,CO2,,,,,0.827,,t/t RS,,0.827,,t/t RS,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen-5%E,,Emissions,CO2,,,,,0.083,,t/t RS,,0.083,,t/t RS,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen-5%E,,Emissions,CO2,,,,,0.155,,t/t RS,,0.155,,t/t RS,,Agora Zementrechenr,
Agora-Drehrohrofen,,Energy demand,Natural Gas,,,,,0.01,,MWh/t RS,,0.01,,MWh/t RS,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen ,,Energy demand,Natural Gas,,,,,0.01,,MWh/t RS,,0.01,,MWh/t RS,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen,,Energy demand,Natural Gas,,,,,0.01,,MWh/t RS,,0.01,,MWh/t RS,,Agora Zementrechenr,
Agora-Drehrohrofen+5%E,,Energy demand,Natural Gas,,,,,0.0095,,MWh/t RS,,0.0095,,MWh/t RS,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen+5%E,,Energy demand,Natural Gas,,,,,0.0095,,MWh/t RS,,0.0095,,MWh/t RS,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen+5%E,,Energy demand,Natural Gas,,,,,0.0095,,MWh/t RS,,0.0095,,MWh/t RS,,Agora Zementrechenr,
Agora-Drehrohrofen-5%E,,Energy demand,Natural Gas,,,,,0.0105,,MWh/t RS,,0.0105,,MWh/t RS,,Agora Zementrechenr,
Agora-Oxyfuel-Drehrohrofen-5%E,,Energy demand,Natural Gas,,,,,0.0105,,MWh/t RS,,0.0105,,MWh/t RS,,Agora Zementrechenr,
Agora-El.LEILAC-Drehrohrofen-5%E,,Energy demand,Natural Gas,,,,,0.0105,,MWh/t RS,,0.0105,,MWh/t RS,,Agora Zementrechenr,
Agora-Drehrohrofen,,Energy demand,Electricity,,,,,0.09,,MWh/t RS,,0.09,,MWh/t RS,,Agora Zementrechenr,
