Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
Agora-Dampfkessel,,High CAPEX,CAPEX,,,2022.0,,234.0,,€/kW,,,,
Agora-Dampfkessel,,Low CAPEX,CAPEX,,,2022.0,,234.0,,€/kW,,,,
Agora-Elektrodenkessel,,High CAPEX,CAPEX,,,2022.0,,175.0,,€/kW,,,,
Agora-Elektrodenkessel,,Low CAPEX,CAPEX,,,2022.0,,175.0,,€/kW,,,,
Agora-Hochtemperatur WP,,High CAPEX,CAPEX,,,2022.0,,695.0,,€/kW,,,,
Agora-Hochtemperatur WP,,Low CAPEX,CAPEX,,,2022.0,,695.0,,€/kW,,,,
Agora-Höchsttemperatur WP,,High CAPEX,CAPEX,,,2022.0,,866.0,,€/kW,,,,
Agora-Höchsttemperatur WP,,Low CAPEX,CAPEX,,,2022.0,,866.0,,€/kW,,,,
Agora-Dampfkessel+5%E,,High CAPEX,CAPEX,,,2022.0,,234.0,,€/kW,,,,
Agora-Dampfkessel+5%E,,Low CAPEX,CAPEX,,,2022.0,,234.0,,€/kW,,,,
Agora-Elektrodenkessel+5%E,,High CAPEX,CAPEX,,,2022.0,,175.0,,€/kW,,,,
Agora-Elektrodenkessel+5%E,,Low CAPEX,CAPEX,,,2022.0,,175.0,,€/kW,,,,
Agora-Hochtemperatur WP+5%E,,High CAPEX,CAPEX,,,2022.0,,695.0,,€/kW,,,,
Agora-Hochtemperatur WP+5%E,,Low CAPEX,CAPEX,,,2022.0,,695.0,,€/kW,,,,
Agora-Höchsttemperatur WP+5%E,,High CAPEX,CAPEX,,,2022.0,,866.0,,€/kW,,,,
Agora-Höchsttemperatur WP+5%E,,Low CAPEX,CAPEX,,,2022.0,,866.0,,€/kW,,,,
Agora-Dampfkessel-5%E,,High CAPEX,CAPEX,,,2022.0,,234.0,,€/kW,,,,
Agora-Dampfkessel-5%E,,Low CAPEX,CAPEX,,,2022.0,,234.0,,€/kW,,,,
Agora-Elektrodenkessel-5%E,,High CAPEX,CAPEX,,,2022.0,,175.0,,€/kW,,,,
Agora-Elektrodenkessel-5%E,,Low CAPEX,CAPEX,,,2022.0,,175.0,,€/kW,,,,
Agora-Hochtemperatur WP-5%E,,High CAPEX,CAPEX,,,2022.0,,695.0,,€/kW,,,,
Agora-Hochtemperatur WP-5%E,,Low CAPEX,CAPEX,,,2022.0,,695.0,,€/kW,,,,
Agora-Höchsttemperatur WP-5%E,,High CAPEX,CAPEX,,,2022.0,,866.0,,€/kW,,,,
Agora-Höchsttemperatur WP-5%E,,Low CAPEX,CAPEX,,,2022.0,,866.0,,€/kW,,,,
Agora-Dampfkessel,,Emissions,CO2,,,,,0.4,,t/t RS,,,Agora P2H-rechner,
Agora-Elektrodenkessel,,Emissions,CO2,,,,,0,,t/t RS,,230 °C; 30 Bar,Agora P2H-rechner,
Agora-Hochtemperatur WP,,Emissions,CO2,,,,,0,,t/t RS,,85 °C,Agora P2H-rechner,
Agora-Höchsttemperatur WP,,Emissions,CO2,,,,,0,,t/t RS,,180 °C; 4 bar,Agora P2H-rechner,
Agora-Dampfkessel+5%E,,Emissions,CO2,,,,,0.38,,t/t RS,,,Agora P2H-rechner,
Agora-Elektrodenkessel+5%E,,Emissions,CO2,,,,,0,,t/t RS,,,Agora P2H-rechner,
Agora-Hochtemperatur WP+5%E,,Emissions,CO2,,,,,0,,t/t RS,,,Agora P2H-rechner,
Agora-Höchsttemperatur WP+5%E,,Emissions,CO2,,,,,0,,t/t RS,,,Agora P2H-rechner,
Agora-Dampfkessel-5%E,,Emissions,CO2,,,,,0.4,,t/t RS,,,Agora P2H-rechner,
Agora-Elektrodenkessel-5%E,,Emissions,CO2,,,,,0,,t/t RS,,,Agora P2H-rechner,
Agora-Hochtemperatur WP-5%E,,Emissions,CO2,,,,,0,,t/t RS,,,Agora P2H-rechner,
Agora-Höchsttemperatur WP-5%E,,Emissions,CO2,,,,,0,,t/t RS,,,Agora P2H-rechner,
Agora-Dampfkessel,,Energy demand,Natural Gas,,,,,2,,MWh/t RS,,,Agora P2H-rechner,
Agora-Dampfkessel+5%E,,Energy demand,Natural Gas,,,,,1.9,,MWh/t RS,,,Agora P2H-rechner,
Agora-Dampfkessel-5%E,,Energy demand,Natural Gas,,,,,2.1,,MWh/t RS,,,Agora P2H-rechner,
Agora-Elektrodenkessel,,Energy demand,Electricity,,,,,1.71,,MWh/t RS,,230 °C; 30 Bar,Agora P2H-rechner,
Agora-Hochtemperatur WP,,Energy demand,Electricity,,,,,0.97,,MWh/t RS,,85 °C,Agora P2H-rechner,
Agora-Höchsttemperatur WP,,Energy demand,Electricity,,,,,1.15,,MWh/t RS,,180 °C; 4 bar,Agora P2H-rechner,
Agora-Elektrodenkessel+5%E,,Energy demand,Electricity,,,,,1.6244999999999998,,MWh/t RS,,,Agora P2H-rechner,
Agora-Hochtemperatur WP+5%E,,Energy demand,Electricity,,,,,0.9215,,MWh/t RS,,,Agora P2H-rechner,
Agora-Höchsttemperatur WP+5%E,,Energy demand,Electricity,,,,,1.0924999999999998,,MWh/t RS,,,Agora P2H-rechner,
Agora-Elektrodenkessel-5%E,,Energy demand,Electricity,,,,,1.7955,,MWh/t RS,,,Agora P2H-rechner,
Agora-Hochtemperatur WP-5%E,,Energy demand,Electricity,,,,,1.0185,,MWh/t RS,,,Agora P2H-rechner,
