Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
BF-BOF-POST (w/ 60% CC),,High CAPEX,CAPEX,,,2025,,1114.0,,USD_2005,,,Posted Tech|Blast Furnace and Basic Oxygen Furnace with CC,
BF-BOF-POST (w/ 60% CC),,Emissions,CO2,,,2025,,0.7656,,t,,,Posted Tech|Blast Furnace and Basic Oxygen Furnace with CC,
BF-BOF-POST (w/ 60% CC),,Energy demand,Coal,,,2025,,5.453,,MWh,,,Posted Tech|Blast Furnace and Basic Oxygen Furnace with CC,
BF-BOF-POST (w/ 60% CC),,Energy demand,Electricity,,,2025,,0.5725,,MWh,,,Posted Tech|Blast Furnace and Basic Oxygen Furnace with CC,
BF-BOF-POST (w/ 60% CC),,Energy demand,Natural Gas,,,2025,,1.412,,MWh,,,Posted Tech|Blast Furnace and Basic Oxygen Furnace with CC,
BF-BOF-POST (w/ 60% CC),,Feedstock demand,Iron Ore,,,2025,,1.252,,t,,,Posted Tech|Blast Furnace and Basic Oxygen Furnace with CC,
BF-BOF-POST (w/ 60% CC),,Feedstock demand,Water,,,2025,,80.39,,t,,,Posted Tech|Blast Furnace and Basic Oxygen Furnace with CC,
BF-BOF-POST (w/ 60% CC),,OPEX Fixed,OPEX Fixed,,,2025,,97.35,,USD_2005/a,,,Posted Tech|Blast Furnace and Basic Oxygen Furnace with CC,
TGR-BOF-POST (w/ 41% CC),,High CAPEX,CAPEX,,,2025,,1021.0,,USD_2005,,,Posted Tech|Blast Furnace and Basic Oxygen Furnace with CC,
TGR-BOF-POST (w/ 41% CC),,Emissions,CO2,,,2025,,1.03,,t,,,Posted Tech|Blast Furnace and Basic Oxygen Furnace with CC,
TGR-BOF-POST (w/ 41% CC),,Energy demand,Coal,,,2025,,4.463,,MWh,,,Posted Tech|Blast Furnace and Basic Oxygen Furnace with CC,
TGR-BOF-POST (w/ 41% CC),,Energy demand,Electricity,,,2025,,0.528,,MWh,,,Posted Tech|Blast Furnace and Basic Oxygen Furnace with CC,
TGR-BOF-POST (w/ 41% CC),,Energy demand,Natural Gas,,,2025,,1.29,,MWh,,,Posted Tech|Blast Furnace and Basic Oxygen Furnace with CC,
TGR-BOF-POST (w/ 41% CC),,Feedstock demand,Iron Ore,,,2025,,1.243,,t,,,Posted Tech|Blast Furnace and Basic Oxygen Furnace with CC,
TGR-BOF-POST (w/ 41% CC),,OPEX Fixed,OPEX Fixed,,,2025,,93.27,,USD_2005/a,,,Posted Tech|Blast Furnace and Basic Oxygen Furnace with CC,
