Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
Integrated CaL (w/ CC),,High CAPEX,CAPEX,,,2025,,335.4,,USD_2005,,,Posted Tech|Cement Production,
Integrated CaL (w/ CC),,Emissions,CO2,,,2025,,0.04191,,t,,,Posted Tech|Cement Production,
Integrated CaL (w/ CC),,Energy demand,Coal,,,2025,,1.111,,MWh,,,Posted Tech|Cement Production,
Integrated CaL (w/ CC),,Energy demand,Electricity,,,2025,,0.1279,,MWh,,,Posted Tech|Cement Production,
Integrated CaL (w/ CC),,Feedstock demand,Oxygen,,,2025,,0.2794,,t,,,Posted Tech|Cement Production,
Standard (w/o CC),,High CAPEX,CAPEX,,,2025,,161.3,,USD_2005,,,Posted Tech|Cement Production,
Standard (w/o CC),,Emissions,CO2,,,2025,,0.6362,,t,,,Posted Tech|Cement Production,
Standard (w/o CC),,Energy demand,Coal,,,2025,,0.6618,,MWh,,,Posted Tech|Cement Production,
Standard (w/o CC),,Energy demand,Electricity,,,2025,,0.09676,,MWh,,,Posted Tech|Cement Production,
Standard (w/o CC),,Feedstock demand,Oxygen,,,2025,,0.375,,t,,,Posted Tech|Cement Production,
Tail-end CaL 20% IL (w/ CC),,High CAPEX,CAPEX,,,2025,,344.2,,USD_2005,,,Posted Tech|Cement Production,
Tail-end CaL 20% IL (w/ CC),,Emissions,CO2,,,2025,,0.08713,,t,,,Posted Tech|Cement Production,
Tail-end CaL 20% IL (w/ CC),,Energy demand,Coal,,,2025,,1.781,,MWh,,,Posted Tech|Cement Production,
Tail-end CaL 20% IL (w/ CC),,Feedstock demand,Oxygen,,,2025,,0.375,,t,,,Posted Tech|Cement Production,
Tail-end CaL 50% IL (w/ CC),,High CAPEX,CAPEX,,,2025,,321.5,,USD_2005,,,Posted Tech|Cement Production,
Tail-end CaL 50% IL (w/ CC),,Emissions,CO2,,,2025,,0.05816,,t,,,Posted Tech|Cement Production,
Tail-end CaL 50% IL (w/ CC),,Energy demand,Coal,,,2025,,1.45,,MWh,,,Posted Tech|Cement Production,
Tail-end CaL 50% IL (w/ CC),,Energy demand,Electricity,,,2025,,0.04243,,MWh,,,Posted Tech|Cement Production,
Tail-end CaL 50% IL (w/ CC),,Feedstock demand,Oxygen,,,2025,,0.3235,,t,,,Posted Tech|Cement Production,
Integrated CaL (w/ CC),,OPEX,Additional OPEX,,,2025,,31.17,,USD_2005,,,Posted Tech|Cement Production,
Standard (w/o CC),,OPEX,Additional OPEX,,,2025,,20.64,,USD_2005,,,Posted Tech|Cement Production,
Tail-end CaL 20% IL (w/ CC),,OPEX,Additional OPEX,,,2025,,31.38,,USD_2005,,,Posted Tech|Cement Production,
Tail-end CaL 50% IL (w/ CC),,OPEX,Additional OPEX,,,2025,,30.3,,USD_2005,,,Posted Tech|Cement Production,
