Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
AEL|1 MW,,High CAPEX,CAPEX,,,2025,,89.8,,USD_2005,,,Posted Tech|Electrolysis,
AEL|1 MW,,Energy demand,Electricity,,,2025,,1.506,,MWh,,,Posted Tech|Electrolysis,
AEL|1 MW,,Feedstock demand,Water,,,2025,,0.2848,,t,,,Posted Tech|Electrolysis,
AEL|100 MW,,High CAPEX,CAPEX,,,2025,,75.65,,USD_2005,,,Posted Tech|Electrolysis,
AEL|100 MW,,Energy demand,Electricity,,,2025,,1.497,,MWh,,,Posted Tech|Electrolysis,
AEL|100 MW,,Feedstock demand,Water,,,2025,,0.2848,,t,,,Posted Tech|Electrolysis,
AEL|130000 Nm³/h,,High CAPEX,CAPEX,,,2025,,115.7,,USD_2005,,,Posted Tech|Electrolysis,
AEL|130000 Nm³/h,,Energy demand,Electricity,,,2025,,1.559,,MWh,,,Posted Tech|Electrolysis,
AEL|130000 Nm³/h,,Feedstock demand,Water,,,2025,,0.2848,,t,,,Posted Tech|Electrolysis,
AEL|5 MW,,High CAPEX,CAPEX,,,2025,,101.0,,USD_2005,,,Posted Tech|Electrolysis,
AEL|5 MW,,Energy demand,Electricity,,,2025,,1.506,,MWh,,,Posted Tech|Electrolysis,
AEL|5 MW,,Feedstock demand,Water,,,2025,,0.2848,,t,,,Posted Tech|Electrolysis,
PEM|1 MW,,High CAPEX,CAPEX,,,2025,,146.8,,USD_2005,,,Posted Tech|Electrolysis,
PEM|1 MW,,Energy demand,Electricity,,,2025,,1.565,,MWh,,,Posted Tech|Electrolysis,
PEM|1 MW,,Feedstock demand,Water,,,2025,,0.285,,t,,,Posted Tech|Electrolysis,
PEM|100 MW,,High CAPEX,CAPEX,,,2025,,123.6,,USD_2005,,,Posted Tech|Electrolysis,
PEM|100 MW,,Energy demand,Electricity,,,2025,,1.565,,MWh,,,Posted Tech|Electrolysis,
PEM|100 MW,,Feedstock demand,Water,,,2025,,0.285,,t,,,Posted Tech|Electrolysis,
PEM|130000 Nm³/h,,High CAPEX,CAPEX,,,2025,,279.8,,USD_2005,,,Posted Tech|Electrolysis,
PEM|130000 Nm³/h,,Energy demand,Electricity,,,2025,,1.646,,MWh,,,Posted Tech|Electrolysis,
PEM|130000 Nm³/h,,Feedstock demand,Water,,,2025,,0.285,,t,,,Posted Tech|Electrolysis,
PEM|5 MW,,High CAPEX,CAPEX,,,2025,,139.6,,USD_2005,,,Posted Tech|Electrolysis,
PEM|5 MW,,Energy demand,Electricity,,,2025,,1.565,,MWh,,,Posted Tech|Electrolysis,
PEM|5 MW,,Feedstock demand,Water,,,2025,,0.285,,t,,,Posted Tech|Electrolysis,
SOEC|1 MW,,High CAPEX,CAPEX,,,2025,,462.9,,USD_2005,,,Posted Tech|Electrolysis,
SOEC|1 MW,,Energy demand,Electricity,,,2025,,1.263,,MWh,,,Posted Tech|Electrolysis,
SOEC|1 MW,,Energy demand,Heat,,,2025,,0.3159,,MWh,,,Posted Tech|Electrolysis,
SOEC|1 MW,,Feedstock demand,Water,,,2025,,0.27,,t,,,Posted Tech|Electrolysis,
SOEC|100 MW,,Energy demand,Electricity,,,2025,,1.263,,MWh,,,Posted Tech|Electrolysis,
SOEC|100 MW,,Energy demand,Heat,,,2025,,0.3159,,MWh,,,Posted Tech|Electrolysis,
SOEC|100 MW,,Feedstock demand,Water,,,2025,,0.27,,t,,,Posted Tech|Electrolysis,
SOEC|130000 Nm³/h,,High CAPEX,CAPEX,,,2025,,213.0,,USD_2005,,,Posted Tech|Electrolysis,
SOEC|130000 Nm³/h,,Energy demand,Electricity,,,2025,,1.29,,MWh,,,Posted Tech|Electrolysis,
SOEC|130000 Nm³/h,,Energy demand,Heat,,,2025,,0.2833,,MWh,,,Posted Tech|Electrolysis,
SOEC|130000 Nm³/h,,Feedstock demand,Water,,,2025,,0.27,,t,,,Posted Tech|Electrolysis,
SOEC|5 MW,,Energy demand,Electricity,,,2025,,1.263,,MWh,,,Posted Tech|Electrolysis,
SOEC|5 MW,,Energy demand,Heat,,,2025,,0.3159,,MWh,,,Posted Tech|Electrolysis,
SOEC|5 MW,,Feedstock demand,Water,,,2025,,0.27,,t,,,Posted Tech|Electrolysis,
AEL|1 MW,,OPEX,Additional OPEX,,,2025,,3.731,,USD_2005/a,,,Posted Tech|Electrolysis,
AEL|100 MW,,OPEX,Additional OPEX,,,2025,,2.037,,USD_2005/a,,,Posted Tech|Electrolysis,
AEL|130000 Nm³/h,,OPEX,Additional OPEX,,,2025,,2.808,,USD_2005/a,,,Posted Tech|Electrolysis,
AEL|5 MW,,OPEX,Additional OPEX,,,2025,,2.808,,USD_2005/a,,,Posted Tech|Electrolysis,
PEM|1 MW,,OPEX,Additional OPEX,,,2025,,6.374,,USD_2005/a,,,Posted Tech|Electrolysis,
PEM|100 MW,,OPEX,Additional OPEX,,,2025,,4.172,,USD_2005/a,,,Posted Tech|Electrolysis,
PEM|130000 Nm³/h,,OPEX,Additional OPEX,,,2025,,2.47,,USD_2005/a,,,Posted Tech|Electrolysis,
PEM|5 MW,,OPEX,Additional OPEX,,,2025,,2.47,,USD_2005/a,,,Posted Tech|Electrolysis,
SOEC|1 MW,,OPEX,Additional OPEX,,,2025,,55.54,,USD_2005/a,,,Posted Tech|Electrolysis,
