Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
Iron Direct Reduction,h2,High CAPEX,CAPEX,,,2025,,347.0,,USD_2005,,,Posted Tech|Iron Direct Reduction,
Iron Direct Reduction,h2,Energy demand,Electricity,,,2025,,0.09049,,MWh,,,Posted Tech|Iron Direct Reduction,
Iron Direct Reduction,h2,Energy demand,Natural Gas,,,2025,,0.4797,,MWh,,,Posted Tech|Iron Direct Reduction,
Iron Direct Reduction,h2,Energy demand,Heat,,,2025,,0.4839,,MWh,,,Posted Tech|Iron Direct Reduction,
Iron Direct Reduction,h2,Energy demand,Hydrogen,,,2025,,1.819,,MWh,,,Posted Tech|Iron Direct Reduction,
Iron Direct Reduction,h2,Feedstock demand,Iron Ore,,,2025,,1.444,,t,,,Posted Tech|Iron Direct Reduction,
Iron Direct Reduction,h2,OPEX Fixed,OPEX Fixed,,,2025,,13.98,,USD_2005/a,,,Posted Tech|Iron Direct Reduction,
Iron Direct Reduction,ng,High CAPEX,CAPEX,,,2025,,347.0,,USD_2005,,,Posted Tech|Iron Direct Reduction,
Iron Direct Reduction,ng,Energy demand,Electricity,,,2025,,0.07911,,MWh,,,Posted Tech|Iron Direct Reduction,
Iron Direct Reduction,ng,Energy demand,Natural Gas,,,2025,,2.69,,MWh,,,Posted Tech|Iron Direct Reduction,
Iron Direct Reduction,ng,Feedstock demand,Iron Ore,,,2025,,1.402,,t,,,Posted Tech|Iron Direct Reduction,
Iron Direct Reduction,ng,Feedstock demand,Oxygen,,,2025,,0.08555,,t,,,Posted Tech|Iron Direct Reduction,
Iron Direct Reduction,ng,OPEX Fixed,OPEX Fixed,,,2025,,13.98,,USD_2005/a,,,Posted Tech|Iron Direct Reduction,
