Technology,Mode,Type,Component,Subcomponent,Region,Period,Usage,Value,Uncertainty,Unit,Non-unit conversion factor,Value and uncertainty comment,Source reference,Source comment
BIO,,High CAPEX,CAPEX,,,2025,,72.76,,USD_2005,,,Posted Tech|Methanation,
BIO,,Energy demand,Electricity,,,2025,,0.6315,,MWh,,,Posted Tech|Methanation,
BIO,,Energy demand,Hydrogen,,,2025,,1.291,,MWh,,,Posted Tech|Methanation,
BIO,,OPEX Fixed,OPEX Fixed,,,2025,,1.771,,USD_2005/a,,,Posted Tech|Methanation,
CAT,,High CAPEX,CAPEX,,,2025,,65.56,,USD_2005,,,Posted Tech|Methanation,
CAT,,Feedstock demand,Captured CO2,,,2025,,0.216,,t,,,Posted Tech|Methanation,
CAT,,Energy demand,Electricity,,,2025,,0.4287,,MWh,,,Posted Tech|Methanation,
CAT,,Energy demand,Hydrogen,,,2025,,1.261,,MWh,,,Posted Tech|Methanation,
CAT,,Feedstock demand,Water,,,2025,,0.162,,t,,,Posted Tech|Methanation,
CAT,,OPEX Fixed,OPEX Fixed,,,2025,,1.771,,USD_2005/a,,,Posted Tech|Methanation,
